"country","continent","term","estimate","std.error","statistic","p.value"
"Mexico","Americas","I(year - 1952)",0.451034965034965,0.0174788457925232,25.8046195034172,1.75570885321461e-10
"Mongolia","Asia","(Intercept)",43.8264102564103,0.510576677436334,85.8370783335969,1.12629344421915e-15
"Mongolia","Asia","I(year - 1952)",0.438688111888112,0.0157255677175666,27.8964880484452,8.13182946358536e-11
"Montenegro","Europe","(Intercept)",62.2416282051282,1.49538843730526,41.6223816183103,1.53593972383429e-12
"Montenegro","Europe","I(year - 1952)",0.293001398601398,0.0460573958312896,6.36165795553609,8.22747931405658e-05
"Morocco","Africa","(Intercept)",42.6908333333334,0.411042382592709,103.859930608748,1.67793771686778e-16
"Morocco","Africa","I(year - 1952)",0.542472727272727,0.0126599492454442,42.8495183318321,1.15034760588155e-12
"Mozambique","Africa","(Intercept)",34.2061538461539,1.2444556561608,27.4868402717387,9.41189536409956e-11
"Mozambique","Africa","I(year - 1952)",0.224485314685315,0.0383287614912761,5.85683716225501,0.000160120663709395
"Myanmar","Asia","(Intercept)",41.4115512820513,1.64688926605042,25.1453161640702,2.26616635652907e-10
"Myanmar","Asia","I(year - 1952)",0.433095104895104,0.0507235638075904,8.53834140160109,6.62678995109159e-06
"Namibia","Africa","(Intercept)",47.1343333333333,2.69381981308928,17.4972108766545,7.89627248663668e-09
"Namibia","Africa","I(year - 1952)",0.231163636363636,0.0829686269697275,2.78615718743882,0.0192462505060216
"Nepal","Asia","(Intercept)",34.431641025641,0.501892628149355,68.6035998428627,1.05537458891573e-14
"Nepal","Asia","I(year - 1952)",0.529261538461538,0.0154581022982474,34.2384549053957,1.06917839340389e-11
"Netherlands","Europe","(Intercept)",71.8896153846154,0.188841052870024,380.688490622299,3.84827208074225e-22
"Netherlands","Europe","I(year - 1952)",0.136686713286713,0.00581623269530252,23.5009017773838,4.410957735291e-10
